,address,city,soldDate,soldPrice,sqft,zipCode,borough
48,301 W 110th St #1P,New York,26-Dec-18,600000.0,589,10026,Manhattan
49,160 Central Park S #1608,New York,24-Dec-18,895000.0,451,10019,Manhattan
50,340 E 23rd St #2D,New York,24-Dec-18,1800000.0,1071,10010,Manhattan
51,160 W 66th St #35E,New York,24-Dec-18,1300000.0,840,10023,Manhattan
52,40 Broad St #11A,New York,24-Dec-18,962000.0,908,10004,Manhattan
53,205 E 31st St,New York,24-Dec-18,3700000.0,2900,10016,Manhattan
54,1760 2nd Ave #29B,New York,24-Dec-18,1290000.0,987,10128,Manhattan
55,111 Fulton St #621,New York,24-Dec-18,775000.0,580,10038,Manhattan
56,462 W 25th St,New York,24-Dec-18,5500000.0,4290,10001,Manhattan
57,247 W 46th St #3903,New York,24-Dec-18,2388000.0,1308,10036,Manhattan
58,392 Central Park W #17B,New York,31-Dec-18,1125000.0,841,10025,Manhattan
59,690 Riverside Dr #5D,New York,31-Dec-18,698000.0,1005,10031,Manhattan
60,301 W 53rd St #13J,New York,31-Dec-18,995000.0,678,10019,Manhattan
61,169 W 95th St #16D,New York,31-Dec-18,1142000.0,708,10025,Manhattan
62,845 United Nations Plz #44E,New York,31-Dec-18,,1493,10017,Manhattan
63,1600 Broadway #8D,New York,31-Dec-18,1100000.0,777,10019,Manhattan
64,301 W 57th St #7D,New York,31-Dec-18,1787500.0,1033,10019,Manhattan
65,345 W 13th St #4F,New York,31-Dec-18,5875000.0,2888,10014,Manhattan
66,201 E 80th St #12G,New York,31-Dec-18,3300000.0,2139,10075,Manhattan
67,574 Amsterdam Ave,New York,31-Dec-18,,14800,10024,Manhattan
68,432 Park Ave #442,New York,31-Dec-18,,3977,10022,Manhattan
69,200 E 62nd St #14E,New York,31-Dec-18,3120936.0,1936,10065,Manhattan
70,247 W 46th St #3203,New York,31-Dec-18,2350000.0,1400,10036,Manhattan
71,140 E 56th St #3G,New York,31-Dec-18,480000.0,488,10022,Manhattan
72,55 Wall St #722,New York,31-Dec-18,,856,10005,Manhattan
73,130 Fulton St #11A,New York,31-Dec-18,1900000.0,1900,10038,Manhattan
74,200 W 72nd St,New York,31-Dec-18,,157952,10023,Manhattan
75,15 Broad St #3710,New York,31-Dec-18,2500000.0,1961,10005,Manhattan
76,7 E 9th St #4,New York,30-Dec-18,2575000.0,6670,10003,Manhattan
77,333 E 34th St #17C,New York,28-Dec-18,1330000.0,1185,10016,Manhattan
78,1619 3rd Ave #13F,New York,28-Dec-18,1360000.0,1157,10128,Manhattan
79,438-448 W 37th St #8A,New York,28-Dec-18,1700000.0,1840,10018,Manhattan
80,190 Riverside Dr #10C,New York,28-Dec-18,4700000.0,2670,10024,Manhattan
81,295 Bennett Ave #6D,New York,28-Dec-18,393900.0,316007,10040,Manhattan
82,301 W 57th St #22D,New York,28-Dec-18,2025000.0,1033,10019,Manhattan
83,301 W 110th St #17H,New York,28-Dec-18,999950.0,861,10026,Manhattan
84,22 Renwick St #1A,New York,28-Dec-18,2355000.0,1388,10013,Manhattan
85,45 Park Ave #903,New York,28-Dec-18,2175000.0,1440,10016,Manhattan
86,302 W 12th St #11E,New York,28-Dec-18,,1301,10014,Manhattan
87,407 E 12th St #1RSE,New York,28-Dec-18,1986075.0,1453,10009,Manhattan
88,1235 Park Ave #3C,New York,3-Jan-19,1985000.0,1728,10128,Manhattan
89,80 John St #2G,New York,8-Jan-19,1140000.0,1000,10038,Manhattan
90,1 Irving Pl #U16F,New York,8-Jan-19,1225000.0,785,10003,Manhattan
91,1619 3rd Ave #16H,New York,8-Jan-19,1250000.0,1182,10128,Manhattan
92,415 Greenwich St #8D,New York,7-Jan-19,3200000.0,1850,10013,Manhattan
93,75 Wall St #33F,New York,7-Jan-19,,978,10005,Manhattan
94,200 Riverside Blvd #24E,New York,7-Jan-19,1720000.0,1217,10069,Manhattan
95,330 E 38th St #37N,New York,7-Jan-19,2285000.0,1699,10016,Manhattan
96,217 E 4th St,New York,7-Jan-19,,6685,10009,Manhattan
97,250 E 49th St #25PHC,New York,7-Jan-19,,490,10017,Manhattan
98,252 7th Ave #7C,New York,7-Jan-19,1600000.0,992,10001,Manhattan
99,200 E 32nd St #20C,New York,7-Jan-19,1368000.0,976,10016,Manhattan
100,242 W 136th St,New York,7-Jan-19,2000000.0,3400,10030,Manhattan
101,18-20 Pine St #1503,New York,7-Jan-19,770000.0,656,10005,Manhattan
102,101 Leonard St #4D,New York,7-Jan-19,2515000.0,1510,10013,Manhattan
103,116-118 Wooster St #5B,New York,4-Jan-19,1725000.0,1268,10012,Manhattan
